;;;Err :501;;;
equal ;   file_1[0:8]; --> file_2[0:8]; ['BOULETTE', 'COMBATTRE', 'CAHORS', 'XXX', 'BOULETTE)', 'COMBATTRE', 'XXX', 'Boulette).']; --> ['BOULETTE', 'COMBATTRE', 'CAHORS', 'XXX', 'BOULETTE)', 'COMBATTRE', 'XXX', 'Boulette).'];;
insert;   file_1[8:8]; --> file_2[8:9];       []; --> ['devenue'];;
equal ;   file_1[8:9]; --> file_2[9:10]; ['classique.']; --> ['classique.'];;
insert;   file_1[9:9]; --> file_2[10:11];       []; --> ['semé'];;
equal ;   file_1[9:10]; --> file_2[11:12]; ['avertissements']; --> ['avertissements'];;
insert;   file_1[10:10]; --> file_2[12:13];       []; --> ['dédaigna'];;
equal ;   file_1[10:35]; --> file_2[13:38]; ['gris,', 'gagnerait', 'Aubrac,', 'raisons', 'flexion', 'trement.', 'Combattre', 'ïjambes', 'essaient', 'accueillaient,', 'Marrakech', 'TRACY).', 'Surface', 'parcours', 'd’isthme', 'SURFACE', 'Grimoire', 'SURFACE', 'Violons', 'Régnier', 'ailé,', 'SURFACE', 'déclamations', 'patinage', 'Merger']; --> ['gris,', 'gagnerait', 'Aubrac,', 'raisons', 'flexion', 'trement.', 'Combattre', 'ïjambes', 'essaient', 'accueillaient,', 'Marrakech', 'TRACY).', 'Surface', 'parcours', 'd’isthme', 'SURFACE', 'Grimoire', 'SURFACE', 'Violons', 'Régnier', 'ailé,', 'SURFACE', 'déclamations', 'patinage', 'Merger'];;
insert;   file_1[35:35]; --> file_2[38:39];       []; --> ['impromptus'];;
equal ;   file_1[35:40]; --> file_2[39:44]; ['SURFACE', 'rehaut', 'bravoure.', 'SURFACE', 'Rables']; --> ['SURFACE', 'rehaut', 'bravoure.', 'SURFACE', 'Rables'];;
insert;   file_1[40:40]; --> file_2[44:45];       []; --> ['usée.'];;
equal ;   file_1[40:46]; --> file_2[45:51]; ['Paule', 'SURFACE', 'SURFACE', 'devienne', 'COMBATTRE.', 'soldat']; --> ['Paule', 'SURFACE', 'SURFACE', 'devienne', 'COMBATTRE.', 'soldat'];;
insert;   file_1[46:46]; --> file_2[51:52];       []; --> ['pars,'];;
equal ;   file_1[46:67]; --> file_2[52:73]; ['bronzage', 'Gazier', 'cOLL', 'Tend', 'Messaoud,', 'Haïces', 'livres', 'inexorable', 'fondrait', 'dattirer', 'statuette', 'paule', 'Savonnettes', 'fournissent', 'desserte…', 'chappe', 'Vivant', 'VEILLE', 'gaiet,', 'Juin', 'flaque.']; --> ['bronzage', 'Gazier', 'cOLL', 'Tend', 'Messaoud,', 'Haïces', 'livres', 'inexorable', 'fondrait', 'dattirer', 'statuette', 'paule', 'Savonnettes', 'fournissent', 'desserte…', 'chappe', 'Vivant', 'VEILLE', 'gaiet,', 'Juin', 'flaque.'];;
replace;   file_1[67:68]; --> file_2[73:74]; ['déshabillants']; --> ['déshabillent'];;
equal ;   file_1[68:82]; --> file_2[74:88]; ['l’empaqueter', 'pauvret', 'cantonnade.', 'aimerais', 'Cris-moi', 'mam’elle', 'm’écrira', 'dirais', 'l’éprouve', 'flétrit', 'm’envoie', 'eûmes', 's’battre', 'encouragés,']; --> ['l’empaqueter', 'pauvret', 'cantonnade.', 'aimerais', 'Cris-moi', 'mam’elle', 'm’écrira', 'dirais', 'l’éprouve', 'flétrit', 'm’envoie', 'eûmes', 's’battre', 'encouragés,'];;
insert;   file_1[82:82]; --> file_2[88:89];       []; --> ['brûle,'];;
equal ;   file_1[82:96]; --> file_2[89:103];" ['baleines', 'hyène', 'Bouchons', 'bandière', 'da-fé', 'Rants', 'franchissait', 'Gazier.', 'penser', 'VOYAGER', 'Voyager', ""d’entre'eux"", 'Bardes', 'jetteras,']";" --> ['baleines', 'hyène', 'Bouchons', 'bandière', 'da-fé', 'Rants', 'franchissait', 'Gazier.', 'penser', 'VOYAGER', 'Voyager', ""d’entre'eux"", 'Bardes', 'jetteras,']";;
insert;   file_1[96:96]; --> file_2[103:104];       []; --> ['murmure'];;
equal ;   file_1[96:99]; --> file_2[104:107]; ['fensive', 'Branler', 'lisait']; --> ['fensive', 'Branler', 'lisait'];;
insert;   file_1[99:99]; --> file_2[107:108];       []; --> ['mugit,'];;
equal ;   file_1[99:111]; --> file_2[108:120]; ['hurlant', 'vivraient', 'Filaient', 'reprit', 'ratures', 'Relever', 'charmaient', 'Coutait', 'moi,', 'Existait', 'nappe.', 'palpitant']; --> ['hurlant', 'vivraient', 'Filaient', 'reprit', 'ratures', 'Relever', 'charmaient', 'Coutait', 'moi,', 'Existait', 'nappe.', 'palpitant'];;
insert;   file_1[111:111]; --> file_2[120:122];       []; --> ['avouera', 'soin,'];;
equal ;   file_1[111:116]; --> file_2[122:127]; ['guérira', 'pleurer', 'Troit', 'demeurait', 'permis']; --> ['guérira', 'pleurer', 'Troit', 'demeurait', 'permis'];;
insert;   file_1[116:116]; --> file_2[127:128];       []; --> ['m’eût'];;
equal ;   file_1[116:150]; --> file_2[128:162];" ['J’coutais,', 'glaçait', 'pâlaissez,', 'l’écrasa', 'rapprocher-vous,', 'Rapprocher', 'arrêtez', 'moribond', 'affluent', 'Nîme,', 'J’éprenais', 'passes', 'Nîme,', 'sauvera-je', 'MAILLON', 'FUNESTE', 'retourna,', 'confiance', 's’épanchant', 'dormions', 'Trempe', 'L’oiselet', 's’éveuve,', 'DESSERTE', ""trop'roulante,"", ""ach'ter"", 'c’que', 'fresques', ""z'un"", ""politis'"", ""z'un"", 'connaissance’s', 'chaux.', 'pratique']";" --> ['J’coutais,', 'glaçait', 'pâlaissez,', 'l’écrasa', 'rapprocher-vous,', 'Rapprocher', 'arrêtez', 'moribond', 'affluent', 'Nîme,', 'J’éprenais', 'passes', 'Nîme,', 'sauvera-je', 'MAILLON', 'FUNESTE', 'retourna,', 'confiance', 's’épanchant', 'dormions', 'Trempe', 'L’oiselet', 's’éveuve,', 'DESSERTE', ""trop'roulante,"", ""ach'ter"", 'c’que', 'fresques', ""z'un"", ""politis'"", ""z'un"", 'connaissance’s', 'chaux.', 'pratique']";;
insert;   file_1[150:150]; --> file_2[162:163];       []; --> ['drôle'];;
equal ;   file_1[150:161]; --> file_2[163:174];" [""n’attrape'"", 'adresse', 'REVERSE', 'valuait', 'cascades,', 'Glisse', 'triser.', 'sabre', 'Etudes', 'd’ors', 'Lecteurs,']";" --> [""n’attrape'"", 'adresse', 'REVERSE', 'valuait', 'cascades,', 'Glisse', 'triser.', 'sabre', 'Etudes', 'd’ors', 'Lecteurs,']";;
