place,region,country,type,occurence,mapped
"France","","France","country",15,"yes"
"Afrique","",,"parks",4,"yes"
"Italie","","Italie","country",8,"yes"
"Chine","","Chine","country",2,"yes"
"Espagne","","Espagne","country",2,"yes"
"Turquie","","Turquie","country",3,"yes"
"Europe","",,"parks",4,"yes"
"Ornans","Bourgogne-Franche-Comté","France","city",1,"yes"
"Mexique","","Mexique","country",1,"yes"
"Russie","","Russie","country",2,"yes"
"Lyon","Auvergne-Rhône-Alpes","France","city",6,"yes"
"Sainte Hélène","Sainte Hélène","Sainte-Hélène","country",1,"yes"
"Bled","Bled","Slovénie","city",1,"yes"
"Pradons","Auvergne-Rhône-Alpes","France","city",1,"yes"
"Palais-Royal","Île-de-France","France","spot",1,"yes"
"Trévoux","Auvergne-Rhône-Alpes","France","city",1,"yes"
"Provins","Île-de-France","France","city",1,"yes"
"Japon","","Japon","country",1,"yes"
"Grèce","","Grèce","country",1,"yes"
"Délos","Égée-Méridionale","Grèce","mountain",1,"yes"
"Sicile","Sicile","Italie","mountain",1,"yes"
"Français","Québec","Canada","spot",1,"yes"
"Amourettes","Occitanie","France","city",1,"yes"
"Soleil","Artibonite","Haïti","parks",3,"yes"
"Bourges","Centre-Val de Loire","France","city",1,"yes"
"Ilion","New York","États-Unis","city",1,"yes"
"Arcadie","Péloponnèse","Grèce","country",1,"yes"
"Tirer","East Nusa Tenggara","Indonésie","city",1,"yes"
"Cheval","Floride","États-Unis","city",2,"yes"
"Chèvre","Centre-Val de Loire","France","city",2,"yes"
"Chien","Grand Gedeh","Liberia","parks",2,"yes"
"Gentilhomme","Ouest","Haïti","city",1,"yes"
"Meunier","Sud","Haïti","city",1,"yes"
"Bergers","Bavière","Allemagne","city",1,"yes"
"Amour","Bihar","Inde","city",,"no"
"Amour","Fès-Meknès","Maroc","mountain",,"no"
"Amour","Région du Batha","Tchad","city",,"no"
"Angers","Pays de la Loire","France","city",,"no"
"Angers","Québec","Canada","city",,"no"
"Arabe","Upper East","Ghana","city",,"no"
"Arabe","Tanga","Tanzanie","city",,"no"
"Arabe","Huanuco","Pérou","city",,"no"
"Belgrade","Serbie centrale","Serbie","city",,"no"
"Belgrade","Wallonie","Belgique","city",,"no"
"Belgrade","Maine","États-Unis","city",,"no"
"Belgrade","Minnesota","États-Unis","city",,"no"
"Belgrade","Missouri","États-Unis","city",,"no"
"Bologne","Émilie-Romagne","Italie","city",,"no"
"Bologne","Grand Est","France","city",,"no"
"Bologne","Lombardie","Italie","city",,"no"
"Cambrai","Hauts-de-France","France","city",,"no"
"Cambrai","Québec","Canada","parks",,"no"
"Cambrai","Australie-Méridionale","Australie","city",,"no"
"Cambrai","Midlands","Zimbabwe","mountain",,"no"
"Charité","Nord-Est","Haïti","city",,"no"
"Charité","Artibonite","Haïti","city",,"no"
"Charité","Nord","Haïti","city",,"no"
"Chat","","Turkménistan","city",,"no"
"Chat","Jalal-Abad","Kirghizstan","city",,"no"
"Chat","Balochistan","Pakistan","parks",,"no"
"Cigogne","","Guyane","city",,"no"
"Cigogne","Nouvelle-Aquitaine","France","city",,"no"
"Gazelle","Nouvelle-Bretagne orientale","Papouasie-Nouvelle-Guinée","country",,"no"
"Gazelle","Californie","États-Unis","city",,"no"
"Gazelle","Wallonie","Belgique","city",,"no"
"Hildesheim","Basse-Saxe","Allemagne","city",,"no"
"Hildesheim","Saramacca","Suriname","city",,"no"
"Hildesheim","KwaZulu-Natal","Afrique du Sud","city",,"no"
"Lime","Chuquisaca","Bolivie","country",,"no"
"Lime","Province de l'Est","Sierra Leone","city",,"no"
"Lime","Oregon","États-Unis","city",,"no"
"Lime","Piémont","Italie","city",,"no"
"Lion","","Vanuatu","city",,"no"
"Lion","Îles Loyauté","Nouvelle-Calédonie","city",,"no"
"Lion","KwaZulu-Natal","Afrique du Sud","mountain",,"no"
"Londres","Angleterre","Royaume Uni","city",,"no"
"Londres","Catamarca","Argentine","city",,"no"
"Londres","Estado Falcón","Vénézuéla","parks",,"no"
"Londres","État de Durango","Mexique","city",,"no"
"Londres","Sonora","Mexique","stream",,"no"
"Londres","Puntarenas","Costa Rica","city",,"no"
"Londres","Limón","Costa Rica","city",,"no"
"Londres","Estado Apure","Vénézuéla","city",,"no"
"Londres","Estado Sucre","Vénézuéla","city",,"no"
"Londres","Córdoba","Colombie","city",,"no"
"Montmaur","Occitanie","France","city",,"no"
"Montmaur","Provence-Alpes-Côte d'Azur","France","city",,"no"
"Paradis","Vestland","Norvège","mountain",,"no"
"Paradis","Québec","Canada","parks",,"no"
"Paradis","","Guernesey","city",,"no"
"Paradis","","Guyane","city",,"no"
"Paradis","Louisiane","États-Unis","city",,"no"
"Paradis","Nord","Haïti","city",,"no"
"Paradis","Centre","Haïti","city",,"no"
"Paradis","Grisons","Suisse","mountain",,"no"
"Paradis","","Saint-Martin","city",,"no"
"Paradis","Agder","Norvège","mountain",,"no"
"Paradis","Wallonie","Belgique","city",,"no"
"Paradis","Vaud","Suisse","city",,"no"
"Paradis","Sud","Islande","forest",,"no"
"Paris","Île-de-France","France","city",,"no"
"Paris","Texas","États-Unis","city",,"no"
"Paris","Vitebsk","Biélorussie","city",,"no"
"Paris","","Togo","city",,"no"
"Paris","Maine","États-Unis","city",,"no"
"Pelletier","Québec","Canada","parks",,"no"
"Pelletier","Martinique","Martinique","city",,"no"
"Pelletier","Ontario","Canada","parks",,"no"
"Providence","Rhode Island","États-Unis","city",,"no"
"Providence","Demerara-Mahaica","Guyana","city",,"no"
"Providence","Moka","Maurice","city",,"no"
"Providence","","Guyane","parks",,"no"
"Providence","Utah","États-Unis","city",,"no"
"Pérou","","Pérou","country",,"no"
"Pérou","Bas-Sassandra","Côte d'Ivoire","city",,"no"
"Pérou","Artibonite","Haïti","city",,"no"
"Pérou","Martinique","Martinique","city",,"no"
"Renard","Artibonite","Haïti","city",,"no"
"Renard","Sud-Est","Haïti","city",,"no"
"Renard","Nord-Ouest","Haïti","city",,"no"
"Renard","Guadeloupe","Guadeloupe","city",,"no"
"Rome","Latium","Italie","city",,"no"
"Rome","Géorgie","États-Unis","city",,"no"
"Rome","New York","États-Unis","city",,"no"
"Rome","Papouasie occidentale","Indonésie","city",,"no"
"Rome","Maine","États-Unis","city",,"no"
"Rome","Western","Ghana","city",,"no"
"Rome","Wisconsin","États-Unis","city",,"no"
"Rome","Mississippi","États-Unis","city",,"no"
"Rome","Indiana","États-Unis","city",,"no"
"Sainte-Hélène","","Sainte-Hélène","country",,"no"
"Sainte-Hélène","","Guyane","parks",,"no"
"Sainte-Hélène","Nouvelle-Aquitaine","France","city",,"no"
"Singe","Manyara","Tanzanie","country",,"no"
"Singe","Bagmati Province","Népal","city",,"no"
"Singe","","Centrafrique","stream",,"no"
"Singe","Lumbini Province","Népal","city",,"no"
"Singe","Luapula","Zambie","stream",,"no"
"Singe","Bengale-Occidental","Inde","city",,"no"
"Sire","Punjab","Pakistan","city",,"no"
"Sire","Province de Guizhou","Chine","city",,"no"
"Sire","Katavi Region","Tanzanie","city",,"no"
"Sire","Bagmati Province","Népal","city",,"no"
"Sire","Oromīya","Éthiopie","city",,"no"
"Sire","Région du Lac","Tchad","mountain",,"no"
"Sire","Sokoto","Nigeria","city",,"no"
"Sire","Ouest","Haïti","city",,"no"
"Sire","Région autonome du Tibet","Chine","city",,"no"
"Sire","YeDebub Bihēroch Bihēreseboch na Hizboch","Éthiopie","mountain",,"no"
"Souris","Manitoba","Canada","city",,"no"
"Souris","Ouham-Pendé","Centrafrique","city",,"no"
"Souris","Dakota du Nord","États-Unis","city",,"no"
"Souris","Île-du-Prince-Édouard","Canada","city",,"no"
"Strasbourg","Grand Est","France","city",,"no"
"Strasbourg","Saskatchewan","Canada","city",,"no"
"Thèbes","Grèce-Centrale","Grèce","city",,"no"
"Thèbes","Luxor","Égypte","spot",,"no"
"Versailles","Île-de-France","France","city",,"no"
"Versailles","","Nouvelle-Calédonie","mountain",,"no"
"Versailles","Missouri","États-Unis","city",,"no"
"Versailles","Kentucky","États-Unis","city",,"no"
"Versailles","Ohio","États-Unis","city",,"no"
"Versailles","Illinois","États-Unis","city",,"no"
"Versailles","Pennsylvanie","États-Unis","city",,"no"
"Versailles","Bayamón","Porto Rico","city",,"no"
"Versailles","Tennessee","États-Unis","city",,"no"
"Versailles","Louisiane","États-Unis","city",,"no"
"Versailles","Indiana","États-Unis","city",,"no"
"Versailles","Grand'Anse","Haïti","city",,"no"
"Versailles","Connecticut","États-Unis","city",,"no"
"Versailles","Guadeloupe","Guadeloupe","city",,"no"
"Versailles","New York","États-Unis","city",,"no"
"Versailles","","Guadeloupe","city",,"no"
