place,region,country,type,occurence,mapped
"Bouligny","Grand Est","France","city",1,"yes"
"Saint-Patern","Bretagne","France","city",1,"yes"
"Soleil","Artibonite","Haïti","parks",2,"yes"
"Libreville","Estuaire","Gabon","city",1,"yes"
"Delphes","Grèce-Centrale","Grèce","city",1,"yes"
"Transylvanie","","Roumanie","parks",1,"yes"
"Bourges","Centre-Val de Loire","France","city",1,"yes"
"Malaisie","","Malaisie","country",1,"yes"
"Canada","","Canada","country",1,"yes"
"Poissons","Grand Est","France","city",1,"yes"
"Arnhem","Gueldre","Pays-Bas","city",,"no"
"Arnhem","Territoire du Nord","Australie","parks",,"no"
"Grasse","Provence-Alpes-Côte d'Azur","France","city",,"no"
"Grasse","Tyrol","Autriche","city",,"no"
"Indon","Oblast d'Irkoutsk","Russie","city",,"no"
"Indon","Rajasthan","Inde","city",,"no"
"Lion","","Vanuatu","city",,"no"
"Lion","Îles Loyauté","Nouvelle-Calédonie","city",,"no"
"Lion","KwaZulu-Natal","Afrique du Sud","mountain",,"no"
